antecedent,consequent,support,confidence,lift
citrus fruit;other vegetables,root vegetables,0.010371,0.359155,3.295045
other vegetables;yogurt,whipped/sour cream,0.010168,0.234192,3.267062
other vegetables;tropical fruit,root vegetables,0.012303,0.342776,3.144780
beef,root vegetables,0.017387,0.331395,3.040367
citrus fruit;root vegetables,other vegetables,0.010371,0.586207,3.029608
root vegetables;tropical fruit,other vegetables,0.012303,0.584541,3.020999
other vegetables;whole milk,root vegetables,0.023183,0.309783,2.842082
root vegetables,other vegetables;whole milk,0.023183,0.212687,2.842082
butter,other vegetables;whole milk,0.011490,0.207339,2.770630
curd;whole milk,yogurt,0.010066,0.385214,2.761356
whipped/sour cream,other vegetables;whole milk,0.014642,0.204255,2.729417
other vegetables;yogurt,root vegetables,0.012913,0.297424,2.728698
other vegetables;yogurt,tropical fruit,0.012303,0.283372,2.700550
other vegetables;root vegetables,citrus fruit,0.010371,0.218884,2.644626
other vegetables;rolls/buns,root vegetables,0.012201,0.286396,2.627525
tropical fruit;whole milk,root vegetables,0.011998,0.283654,2.602365
rolls/buns;root vegetables,other vegetables,0.012201,0.502092,2.594890
root vegetables;yogurt,other vegetables,0.012913,0.500000,2.584078
whole milk;yogurt,tropical fruit,0.015150,0.270417,2.577089
pip fruit,tropical fruit,0.020437,0.270161,2.574648
tropical fruit;whole milk,yogurt,0.015150,0.358173,2.567516
whipped/sour cream;yogurt,other vegetables,0.010168,0.490196,2.533410
other vegetables;whipped/sour cream,yogurt,0.010168,0.352113,2.524073
other vegetables;root vegetables,tropical fruit,0.012303,0.259657,2.474538
other vegetables;tropical fruit,yogurt,0.012303,0.342776,2.457146
root vegetables;whole milk,other vegetables,0.023183,0.474012,2.449770
whipped/sour cream;whole milk,yogurt,0.010880,0.337539,2.419607
citrus fruit;whole milk,yogurt,0.010269,0.336667,2.413350
whole milk;yogurt,root vegetables,0.014540,0.259528,2.381025
onions,other vegetables,0.014235,0.459016,2.372268
pork;whole milk,other vegetables,0.010168,0.458716,2.370714
whipped/sour cream;whole milk,other vegetables,0.014642,0.454259,2.347679
root vegetables;whole milk,tropical fruit,0.011998,0.245322,2.337931
chicken,root vegetables,0.010880,0.253555,2.326221
curd,yogurt,0.017285,0.324427,2.325615
pip fruit;whole milk,other vegetables,0.013523,0.449324,2.322178
citrus fruit,tropical fruit,0.019929,0.240786,2.294702
berries,yogurt,0.010574,0.318043,2.279848
curd;yogurt,whole milk,0.010066,0.582353,2.279125
other vegetables,root vegetables,0.047382,0.244877,2.246605
root vegetables,other vegetables,0.047382,0.434701,2.246605
butter;other vegetables,whole milk,0.011490,0.573604,2.244885
cream cheese,yogurt,0.012405,0.312821,2.242412
root vegetables;tropical fruit,whole milk,0.011998,0.570048,2.230969
frozen vegetables,root vegetables,0.011591,0.241015,2.211176
citrus fruit;whole milk,other vegetables,0.013015,0.426667,2.205080
root vegetables;yogurt,whole milk,0.014540,0.562992,2.203354
whipped/sour cream,root vegetables,0.017082,0.238298,2.186250
other vegetables;whole milk,tropical fruit,0.017082,0.228261,2.175335
tropical fruit;yogurt,other vegetables,0.012303,0.420139,2.171343
pork,root vegetables,0.013625,0.236332,2.168210
domestic eggs;other vegetables,whole milk,0.012303,0.552511,2.162336
chicken,other vegetables,0.017895,0.417062,2.155439
butter;whole milk,other vegetables,0.011490,0.416974,2.154987
hamburger meat,other vegetables,0.013828,0.415902,2.149447
butter,root vegetables,0.012913,0.233028,2.137897
other vegetables;whole milk,yogurt,0.022267,0.297554,2.132979
root vegetables;whole milk,yogurt,0.014540,0.297297,2.131136
domestic eggs;whole milk,other vegetables,0.012303,0.410169,2.119820
tropical fruit;whole milk,other vegetables,0.017082,0.403846,2.087140
whipped/sour cream,other vegetables,0.028876,0.402837,2.081924
whipped/sour cream,yogurt,0.020742,0.289362,2.074251
domestic eggs,root vegetables,0.014337,0.225962,2.073071
rolls/buns;whole milk,root vegetables,0.012710,0.224417,2.058896
whole milk;yogurt,other vegetables,0.022267,0.397459,2.054131
whipped/sour cream;yogurt,whole milk,0.010880,0.524510,2.052747
rolls/buns;root vegetables,whole milk,0.012710,0.523013,2.046888
fruit/vegetable juice;whole milk,other vegetables,0.010473,0.393130,2.031756
other vegetables;pip fruit,whole milk,0.013523,0.517510,2.025351
tropical fruit;yogurt,whole milk,0.015150,0.517361,2.024770
other vegetables;yogurt,whole milk,0.022267,0.512881,2.007235
tropical fruit,yogurt,0.029283,0.279070,2.000475
yogurt,tropical fruit,0.029283,0.209913,2.000475
other vegetables;whipped/sour cream,whole milk,0.014642,0.507042,1.984385
rolls/buns;whole milk,yogurt,0.015557,0.274686,1.969049
citrus fruit,root vegetables,0.017692,0.213759,1.961121
other vegetables;root vegetables,yogurt,0.012913,0.272532,1.953611
fruit/vegetable juice;other vegetables,whole milk,0.010473,0.497585,1.947371
butter,whole milk,0.027555,0.497248,1.946053
beef,other vegetables,0.019725,0.375969,1.943066
pork,other vegetables,0.021657,0.375661,1.941476
other vegetables;rolls/buns,yogurt,0.011490,0.269690,1.933235
curd,whole milk,0.026131,0.490458,1.919481
butter milk,other vegetables,0.010371,0.370909,1.916916
other vegetables;root vegetables,whole milk,0.023183,0.489270,1.914833
frozen vegetables,other vegetables,0.017794,0.369979,1.912108
butter,yogurt,0.014642,0.264220,1.894027
pip fruit,root vegetables,0.015557,0.205645,1.886679
citrus fruit,yogurt,0.021657,0.261671,1.875752
soda;whole milk,yogurt,0.010473,0.261421,1.873964
curd,root vegetables,0.010880,0.204198,1.873407
butter,other vegetables,0.020031,0.361468,1.868122
other vegetables;tropical fruit,whole milk,0.017082,0.475921,1.862587
citrus fruit;yogurt,whole milk,0.010269,0.474178,1.855768
fruit/vegetable juice,yogurt,0.018709,0.258790,1.855105
domestic eggs,whole milk,0.029995,0.472756,1.850203
frozen vegetables,yogurt,0.012405,0.257928,1.848924
tropical fruit,root vegetables,0.021047,0.200581,1.840222
other vegetables;pork,whole milk,0.010168,0.469484,1.837394
other vegetables;pastry,whole milk,0.010574,0.468468,1.833421
domestic eggs,other vegetables,0.022267,0.350962,1.813824
citrus fruit,other vegetables,0.028876,0.348894,1.803140
soda;whole milk,other vegetables,0.013930,0.347716,1.797049
cream cheese,other vegetables,0.013726,0.346154,1.788977
pip fruit,other vegetables,0.026131,0.345430,1.785237
frankfurter,rolls/buns,0.019217,0.325862,1.771616
rolls/buns;yogurt,whole milk,0.015557,0.452663,1.771563
sausage,rolls/buns,0.030605,0.325758,1.771048
tropical fruit,other vegetables,0.035892,0.342054,1.767790
citrus fruit;other vegetables,whole milk,0.013015,0.450704,1.763898
whipped/sour cream,whole milk,0.032232,0.449645,1.759754
sausage;whole milk,other vegetables,0.010168,0.340136,1.757876
root vegetables,whole milk,0.048907,0.448694,1.756031
rolls/buns;tropical fruit,whole milk,0.010981,0.446281,1.746587
margarine,yogurt,0.014235,0.243056,1.742312
margarine,other vegetables,0.019725,0.336806,1.740663
sugar,whole milk,0.015048,0.444444,1.739400
hamburger meat,whole milk,0.014743,0.443425,1.735410
rolls/buns;yogurt,other vegetables,0.011490,0.334320,1.727815
ham,whole milk,0.011490,0.441406,1.727509
sliced cheese,whole milk,0.010778,0.439834,1.721356
pip fruit,yogurt,0.017997,0.237903,1.705378
bottled water;other vegetables,whole milk,0.010778,0.434426,1.700192
root vegetables,yogurt,0.025826,0.236940,1.698475
white bread,other vegetables,0.013726,0.326087,1.685268
napkins,yogurt,0.012303,0.234951,1.684218
curd,other vegetables,0.017184,0.322519,1.666829
other vegetables;soda,whole milk,0.013930,0.425466,1.665124
frozen vegetables,whole milk,0.020437,0.424947,1.663094
sugar,other vegetables,0.010778,0.318318,1.645119
other vegetables;rolls/buns,whole milk,0.017895,0.420048,1.643919
pastry;whole milk,other vegetables,0.010574,0.318043,1.643695
rolls/buns;whole milk,other vegetables,0.017895,0.315978,1.633026
cream cheese,whole milk,0.016472,0.415385,1.625670
butter milk,whole milk,0.011591,0.414545,1.622385
bottled water;whole milk,other vegetables,0.010778,0.313609,1.620783
domestic eggs,yogurt,0.014337,0.225962,1.619775
margarine,whole milk,0.024199,0.413194,1.617098
dessert,other vegetables,0.011591,0.312329,1.614164
yogurt,other vegetables,0.043416,0.311224,1.608457
other vegetables,yogurt,0.043416,0.224383,1.608457
hard cheese,whole milk,0.010066,0.410788,1.607682
brown bread,yogurt,0.014540,0.224138,1.606703
chicken,whole milk,0.017590,0.409953,1.604411
beef,yogurt,0.011693,0.222868,1.597601
berries,other vegetables,0.010269,0.308869,1.596280
white bread,whole milk,0.017082,0.405797,1.588147
beef,whole milk,0.021251,0.405039,1.585180
tropical fruit,whole milk,0.042298,0.403101,1.577595
oil,whole milk,0.011286,0.402174,1.573968
whole milk,yogurt,0.056024,0.219260,1.571735
yogurt,whole milk,0.056024,0.401603,1.571735
chocolate,soda,0.013523,0.272541,1.562939
pip fruit,whole milk,0.030097,0.397849,1.557043
onions,whole milk,0.012100,0.390164,1.526965
hygiene articles,whole milk,0.012811,0.388889,1.521975
brown bread,whole milk,0.025216,0.388715,1.521293
whole milk,other vegetables,0.074835,0.292877,1.513634
other vegetables,whole milk,0.074835,0.386758,1.513634
whole milk;yogurt,rolls/buns,0.015557,0.277677,1.509648
pork,whole milk,0.022166,0.384480,1.504719
fruit/vegetable juice,other vegetables,0.021047,0.291139,1.504653
bottled water,soda,0.028978,0.262190,1.503577
soda;yogurt,whole milk,0.010473,0.382900,1.498535
sausage,yogurt,0.019624,0.208874,1.497289
brown bread,other vegetables,0.018709,0.288401,1.490503
bottled water,yogurt,0.022979,0.207912,1.490387
sausage,soda,0.024301,0.258658,1.483324
sausage,other vegetables,0.026945,0.286797,1.482209
other vegetables;sausage,whole milk,0.010168,0.377358,1.476849
long life bakery product,other vegetables,0.010676,0.285326,1.474610
napkins,whole milk,0.019725,0.376699,1.474268
salty snack,other vegetables,0.010778,0.284946,1.472646
pastry,whole milk,0.033249,0.373714,1.462587
fruit/vegetable juice,soda,0.018404,0.254571,1.459887
dessert,whole milk,0.013726,0.369863,1.447514
frankfurter,other vegetables,0.016472,0.279310,1.443519
citrus fruit,whole milk,0.030503,0.368550,1.442377
fruit/vegetable juice,whole milk,0.026640,0.368495,1.442160
other vegetables;yogurt,rolls/buns,0.011490,0.264637,1.438753
shopping bags,soda,0.024606,0.249742,1.432194
napkins,other vegetables,0.014438,0.275728,1.425006
long life bakery product,whole milk,0.013523,0.361413,1.414444
root vegetables;whole milk,rolls/buns,0.012710,0.259875,1.412865
beef,rolls/buns,0.013625,0.259690,1.411858
tropical fruit;whole milk,rolls/buns,0.010981,0.259615,1.411452
other vegetables;root vegetables,rolls/buns,0.012201,0.257511,1.400010
white bread,soda,0.010269,0.243961,1.399044
berries,whole milk,0.011795,0.354740,1.388328
margarine,rolls/buns,0.014743,0.251736,1.368615
frankfurter,whole milk,0.020539,0.348276,1.363029
pastry,soda,0.021047,0.236571,1.356665
waffles,other vegetables,0.010066,0.261905,1.353565
newspapers,rolls/buns,0.019725,0.247134,1.343593
domestic eggs,rolls/buns,0.015658,0.246795,1.341751
newspapers,whole milk,0.027351,0.342675,1.341110
yogurt,rolls/buns,0.034367,0.246356,1.339363
chocolate,other vegetables,0.012710,0.256148,1.323810
butter,rolls/buns,0.013421,0.242202,1.316780
chocolate,whole milk,0.016675,0.336066,1.315243
napkins,soda,0.011998,0.229126,1.313969
pastry,other vegetables,0.022572,0.253714,1.311235
other vegetables;whole milk,rolls/buns,0.017895,0.239130,1.300082
waffles,whole milk,0.012710,0.330688,1.294196
chocolate,rolls/buns,0.011795,0.237705,1.292332
pastry,rolls/buns,0.020946,0.235429,1.279956
tropical fruit,rolls/buns,0.024606,0.234496,1.274886
coffee,whole milk,0.018709,0.322242,1.261141
newspapers,other vegetables,0.019319,0.242038,1.250891
sausage,whole milk,0.029893,0.318182,1.245252
bottled water,whole milk,0.034367,0.310948,1.216940
shopping bags,other vegetables,0.023183,0.235294,1.216037
napkins,rolls/buns,0.011693,0.223301,1.214022
root vegetables,rolls/buns,0.024301,0.222948,1.212101
bottled beer,soda,0.016980,0.210859,1.209209
whole milk,rolls/buns,0.056634,0.221647,1.205032
rolls/buns,whole milk,0.056634,0.307905,1.205032
other vegetables,rolls/buns,0.042603,0.220179,1.197047
rolls/buns,other vegetables,0.042603,0.231620,1.197047
rolls/buns,soda,0.038332,0.208402,1.195124
soda,rolls/buns,0.038332,0.219825,1.195124
coffee,other vegetables,0.013421,0.231173,1.194740
bottled water,rolls/buns,0.024199,0.218951,1.190373
pork,soda,0.011896,0.206349,1.183350
bottled water,other vegetables,0.024809,0.224471,1.160101
salty snack,whole milk,0.011185,0.295699,1.157262
frozen vegetables,rolls/buns,0.010168,0.211416,1.149409
whipped/sour cream,rolls/buns,0.014642,0.204255,1.110476
citrus fruit,rolls/buns,0.016777,0.202703,1.102035
fruit/vegetable juice,rolls/buns,0.014540,0.201125,1.093458
bottled beer,other vegetables,0.016167,0.200758,1.037546
